image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.91931,bus,van,False
drive_022,2,3,0.769367,car,car,True
drive_022,3,4,0.83963,van,car,False
drive_022,4,1,0.894045,car,car,True
drive_022,5,5,0.872732,truck,bus,False
drive_033,9,9,0.831534,car,car,True
drive_033,10,4,0.711521,car,car,True
drive_033,11,3,0.860567,car,car,True
drive_033,12,5,0.807985,car,car,True
drive_033,13,7,0.874876,car,car,True
drive_033,14,6,0.863148,car,car,True
drive_033,15,8,0.780899,car,car,True
drive_033,16,10,0.84086,car,car,True
drive_033,17,1,0.970311,bus,van,False
drive_033,18,11,0.868832,car,car,True
drive_033,19,12,0.94785,bus,van,False
drive_033,20,2,0.860077,truck,bus,False
drive_038,4,4,0.904254,car,car,True
drive_038,5,3,0.927667,car,car,True
drive_038,6,2,0.940123,car,car,True
drive_038,7,1,0.950833,car,car,True
drive_038,8,5,0.947693,truck,bus,False
drive_038,9,17,0.956156,car,car,True
drive_038,10,16,0.929865,car,car,True
drive_038,11,15,0.917139,van,truck,False
drive_038,12,9,0.874608,truck,bus,False
drive_038,13,14,0.859805,car,car,True
drive_038,14,13,0.888398,car,car,True
drive_038,15,8,0.978485,car,car,True
drive_038,16,10,0.891619,car,car,True
drive_038,17,7,0.899983,car,car,True
drive_038,18,11,0.913149,car,car,True
drive_038,19,12,0.894317,car,car,True
drive_038,20,6,0.844313,car,car,True
drive_008,1,2,0.846142,car,car,True
drive_008,2,9,0.952466,bus,van,False
drive_008,3,1,0.828254,truck,bus,False
drive_008,6,7,0.853041,car,car,True
drive_008,7,13,0.793238,car,car,True
drive_008,8,14,0.866219,car,car,True
drive_008,9,15,0.443494,car,car,True
drive_008,20,5,0.795996,van,truck,False
drive_008,22,16,0.934734,car,car,True
drive_008,24,11,0.935106,car,car,True
drive_008,25,12,0.913488,van,truck,False
drive_008,26,4,0.911917,car,car,True
drive_008,27,6,0.87904,car,car,True
drive_008,28,3,0.911889,van,truck,False
